#elems=864
#nodes=473

#map
       523       280       294       299
       524       251       284       292
       525       290       285       304
       526       289       287       305
       527       282       296       301
       528       264       293       295
       529       286       256       298
       530       291       289       306
       531       294       288       307
       532       285       299       304
       533       296       290       308
       534       293       291       309
       535       302       297       310
       536       287       301       305
       537       267       281       311
       538       288       302       307
       539       273       277       312
       540       259       269       313
       541       299       294       314
       542       290       304       308
       543       289       305       306
       544       262       292       303
       545       301       296       315
       546       284       273       316
       547       302       310       317
       548       291       306       309
       549       294       307       314
       550       277       286       318
       551       304       299       319
       552       295       293       309
       553       298       267       311
       554       296       308       315
       555       305       301       320
       556       279       300       321
       557       281       295       322
       558       307       302       323
       559       299       314       319
       560       306       305       324
